0 (无道具)
2001 mega妙娃花石
2002 mega喷火龙石 X
2003 mega喷火龙石 Y
2004 mega水箭龟石
2005 mega胡地石
2006 mega耿鬼石
2007 mega袋龙石
2008 mega大甲石
2009 mega暴鲤龙石
2010 mega化石翼龙石
2011 mega超梦石 X
2012 mega超梦石 Y
2013 mega电龙石
2014 mega巨钳螳螂石
2015 mega赫拉克罗斯石
2016 mega黑鲁加石
2017 mega班吉拉石
2018 mega火焰鸡石
2019 mega沙奈朵石
2020 mega大嘴娃石
2021 mega波士可多拉石
2022 mega恰雷姆石
2023 mega雷电兽石
2024 mega诅咒娃娃石
2025 mega阿勃梭鲁石
2026 mega烈咬陆鲨石
2027 mega路卡利欧石
2028 mega暴雪王石
2029 mega蜥蜴王石
2030 mega巨沼怪石
2031 mega大针蜂石
2032 mega比雕石
2033 mega呆河马石
2034 mega大钢蛇石
2035 mega勾魂眼石
2036 mega巨牙鲨石
2037 mega喷火驼石
2038 mega七夕青鸟石
2039 mega冰鬼护石
2040 mega暴蝾螈石
2041 mega巨金怪石
2042 mega长耳兔石
2043 mega艾路雷朵石
2044 mega差不多娃娃石
2045 mega蒂安茜石
2046 mega拉帝亚斯石
2047 mega拉帝欧斯石
